Open in Excel for Better user experience.,,,,,,,,,,,,,,,,,,,
Optimal Strategy Training,,,,,,,Random Strategy Training,,,,,,,Menace to Menace Strategy Training,,,,,
Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result,,Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result,,Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result
Fri Apr 22 00:34:29 EDT 2022,68,0,36,31, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,67,50,58,9957, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,67,9216,191,10657, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,69,0,37,31, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,68,51,58,9957, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,68,9217,191,10657, conditionDraw
Fri Apr 22 00:34:29 EDT 2022,70,0,37,32, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,69,51,58,9958, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,69,9217,191,10658, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,71,0,37,33, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,70,52,58,9958, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,70,9218,191,10658, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,72,0,37,34, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,71,53,58,9958, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,71,9219,191,10658, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,73,0,37,35, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,72,54,58,9958, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,72,9220,191,10658, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,74,0,37,36, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,73,54,59,9958, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,73,9221,191,10658, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,75,0,37,37, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,74,54,59,9959, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,74,9222,191,10658, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,76,0,37,38, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,75,55,59,9959, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,75,9223,191,10658, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,77,0,37,39, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,76,56,59,9959, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,76,9224,191,10658, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,78,0,38,39, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,77,56,59,9960, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,77,9225,191,10658, conditionDraw
Fri Apr 22 00:34:29 EDT 2022,79,0,38,40, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,78,56,59,9961, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,78,9225,191,10659, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,80,0,38,41, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,79,56,60,9961, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,79,9226,191,10659, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,81,0,39,41, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,80,57,60,9961, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,80,9227,191,10659, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,82,0,39,42, HumanWins,,Fri Apr 22 00:34:33 EDT 2022,81,58,60,9961, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,81,9228,191,10659, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,83,0,40,42, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,82,59,60,9961, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,82,9229,191,10659, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,84,0,40,43, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,83,59,61,9961, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,83,9230,191,10659, MenaceWins
